"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Testing tickets function with various test inputs.

        The new ""Avengers"" movie has just been released!
        There are a lot of people at the cinema box office
        standing in a huge line. Each of them has a single
        100, 50 or 25 dollar bill. An ""Avengers"" ticket
        costs 25 dollars.

        Vasya is currently working as a clerk.
        He wants to sell a ticket to every single person
        in this line.

        Can Vasya sell a ticket to every person and give change
        if he initially has no money and sells the tickets strictly
        in the order people queue?

        The function should return YES, if Vasya can sell
        a ticket to every person and give change with the
        bills he has at hand at that moment. Otherwise return NO.
        :return:
        ","0","Testing tickets function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Testing 'mix' function

        Given two strings s1 and s2, the 'mix' function
        should visualize how different the two strings are.
        ","0","Testing 'mix' function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Fundamentals","",""
"
        If there are no good ideas,
        as is often the case, return 'Fail!'.
        :return:
        ","0","Should return 'Fail!'s","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing 'factorial' function

        In mathematics, the factorial of a non-negative integer n,
        denoted by n!, is the product of all positive integers less
        than or equal to n. For example: 5! = 5 * 4 * 3 * 2 * 1 = 120.
        By convention the value of 0! is 1.

        Write a function to calculate factorial for a given input.
        If input is below 0 or above 12 throw an exception of type
        ValueError (Python).
        :return:
        ","0","Testing 'factorial' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        The function powers takes a single parameter,
        the number n, and should return an array of unique numbers.
        :return:
        ","0","powers function should return an array of unique numbers","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing easy_line function exception message","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing 'sum_triangular_numbers' function
        with negative numbers
        :return:
        ","0","Testing 'sum_triangular_numbers' with negative numbers","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'sum_pairs' function

        Given a list of integers and a single sum value,
        the function should return the first two values
        (parse from the left please) in order of appearance
        that add up to form the sum.
        ","0","Testing done_or_not function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing summation function
        with various test inputs
        :return:
        ","0","Testing 'summation' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Control Flow","",""
"
        The string ""This website is for losers LOL!""
        should become ""Ths wbst s fr lsrs LL!""
        :return:
        ","0","a and b are equal","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Advanced Language Features","",""
